Si (Silicon) - Dispersive & Lossless

frequency (THz), Im(eps)
279.298, 1.30469e-07
279.722, 1.30865e-07
280.145, 1.31262e-07
280.569, 1.3166e-07
280.993, 1.32059e-07
281.416, 1.3246e-07
281.84, 1.32862e-07
282.264, 1.33266e-07
282.687, 1.33671e-07
283.111, 1.34077e-07
283.535, 1.34485e-07
283.958, 1.34894e-07
284.382, 1.35305e-07
284.805, 1.35717e-07
285.229, 1.3613e-07
285.653, 1.36545e-07
286.076, 1.36961e-07
286.5, 1.37379e-07
286.924, 1.37798e-07
287.347, 1.38219e-07
287.771, 1.38641e-07
288.195, 1.39065e-07
288.618, 1.3949e-07
289.042, 1.39917e-07
289.466, 1.40345e-07
289.889, 1.40774e-07
290.313, 1.41206e-07
290.737, 1.41638e-07
291.16, 1.42073e-07
291.584, 1.42509e-07
292.008, 1.42946e-07
292.431, 1.43385e-07
292.855, 1.43825e-07
293.279, 1.44268e-07
293.702, 1.44711e-07
294.126, 1.45157e-07
294.55, 1.45603e-07
294.973, 1.46052e-07
295.397, 1.46502e-07
295.821, 1.46954e-07
296.244, 1.47407e-07
296.668, 1.47862e-07
297.092, 1.48319e-07
297.515, 1.48777e-07
297.939, 1.49237e-07
298.363, 1.49699e-07
298.786, 1.50162e-07
299.21, 1.50628e-07
299.634, 1.51094e-07
300.057, 1.51563e-07
300.481, 1.52033e-07
300.905, 1.52505e-07
301.328, 1.52979e-07
301.752, 1.53454e-07
302.176, 1.53932e-07
302.599, 1.54411e-07
303.023, 1.54892e-07
303.447, 1.55374e-07
303.87, 1.55859e-07
304.294, 1.56345e-07
304.718, 1.56833e-07
305.141, 1.57323e-07
305.565, 1.57814e-07
305.988, 1.58308e-07
306.412, 1.58804e-07
306.836, 1.59301e-07
307.259, 1.598e-07
307.683, 1.60301e-07
308.107, 1.60804e-07
308.53, 1.61309e-07
308.954, 1.61816e-07
309.378, 1.62325e-07
309.801, 1.62835e-07
310.225, 1.63348e-07
310.649, 1.63863e-07
311.072, 1.64379e-07
311.496, 1.64898e-07
311.92, 1.65418e-07
312.343, 1.65941e-07
312.767, 1.66466e-07
313.191, 1.66992e-07
313.614, 1.67521e-07
314.038, 1.68052e-07
314.462, 1.68584e-07
314.885, 1.69119e-07
315.309, 1.69656e-07
315.733, 1.70195e-07
316.156, 1.70737e-07
316.58, 1.7128e-07
317.004, 1.71825e-07
317.427, 1.72373e-07
317.851, 1.72923e-07
318.275, 1.73475e-07
318.698, 1.74029e-07
319.122, 1.74585e-07
319.546, 1.75144e-07
319.969, 1.75704e-07
320.393, 1.76267e-07
320.817, 1.76832e-07
321.24, 1.774e-07
321.664, 1.7797e-07
322.088, 1.78542e-07
322.511, 1.79116e-07
322.935, 1.79693e-07
323.359, 1.80272e-07
323.782, 1.80853e-07
324.206, 1.81436e-07
324.63, 1.82022e-07
325.053, 1.82611e-07
325.477, 1.83202e-07
325.901, 1.83795e-07
326.324, 1.8439e-07
326.748, 1.84988e-07
327.171, 1.85589e-07
327.595, 1.86192e-07
328.019, 1.86797e-07
328.442, 1.87405e-07
328.866, 1.88015e-07
329.29, 1.88628e-07
329.713, 1.89244e-07
330.137, 1.89862e-07
330.561, 1.90482e-07
330.984, 1.91105e-07
331.408, 1.91731e-07
331.832, 1.92359e-07
332.255, 1.9299e-07
332.679, 1.93624e-07
333.103, 1.9426e-07
333.526, 1.94899e-07
333.95, 1.95541e-07
334.374, 1.96185e-07
334.797, 1.96832e-07
335.221, 1.97482e-07
335.645, 1.98134e-07
336.068, 1.98789e-07
336.492, 1.99447e-07
336.916, 2.00108e-07
337.339, 2.00772e-07
337.763, 2.01438e-07
338.187, 2.02107e-07
338.61, 2.0278e-07
339.034, 2.03455e-07
339.458, 2.04132e-07
339.881, 2.04813e-07
340.305, 2.05497e-07
340.729, 2.06184e-07
341.152, 2.06873e-07
341.576, 2.07566e-07
342, 2.08262e-07
342.423, 2.08961e-07
342.847, 2.09662e-07
343.271, 2.10367e-07
343.694, 2.11075e-07
344.118, 2.11786e-07
344.542, 2.125e-07
344.965, 2.13217e-07
345.389, 2.13938e-07
345.813, 2.14661e-07
346.236, 2.15388e-07
346.66, 2.16118e-07
347.084, 2.16851e-07
347.507, 2.17587e-07
347.931, 2.18327e-07
348.354, 2.1907e-07
348.778, 2.19816e-07
349.202, 2.20566e-07
349.625, 2.21319e-07
350.049, 2.22075e-07
350.473, 2.22835e-07
350.896, 2.23598e-07
351.32, 2.24365e-07
351.744, 2.25135e-07
352.167, 2.25908e-07
352.591, 2.26685e-07
353.015, 2.27466e-07
353.438, 2.2825e-07
353.862, 2.29038e-07
354.286, 2.29829e-07
354.709, 2.30624e-07
355.133, 2.31422e-07
355.557, 2.32225e-07
355.98, 2.3303e-07
356.404, 2.3384e-07
356.828, 2.34653e-07
357.251, 2.3547e-07
357.675, 2.36291e-07
358.099, 2.37116e-07
358.522, 2.37944e-07
358.946, 2.38776e-07
359.37, 2.39612e-07
359.793, 2.40452e-07
360.217, 2.41296e-07
360.641, 2.42144e-07
361.064, 2.42996e-07
361.488, 2.43852e-07
361.912, 2.44712e-07
362.335, 2.45576e-07
362.759, 2.46444e-07
363.183, 2.47316e-07
363.606, 2.48192e-07
364.03, 2.49073e-07
364.454, 2.49957e-07
364.877, 2.50846e-07
365.301, 2.51739e-07
365.725, 2.52637e-07
366.148, 2.53538e-07
366.572, 2.54444e-07
366.996, 2.55355e-07
367.419, 2.56269e-07
367.843, 2.57188e-07
368.267, 2.58112e-07
368.69, 2.5904e-07
369.114, 2.59972e-07
369.537, 2.60909e-07
369.961, 2.61851e-07
370.385, 2.62797e-07
370.808, 2.63748e-07
371.232, 2.64703e-07
371.656, 2.65663e-07
372.079, 2.66628e-07
372.503, 2.67598e-07
372.927, 2.68572e-07
373.35, 2.69551e-07
